"delivery_id","customer_id","jumpman_id","vehicle_type","pickup_place","place_category","item_name","item_quantity","item_category_name","how_long_it_took_to_order","pickup_lat","pickup_lon","dropoff_lat","dropoff_lon","when_the_delivery_started","when_the_Jumpman_arrived_at_pickup","when_the_Jumpman_left_pickup","when_the_Jumpman_arrived_at_dropoff"
1457973,327168,162381,"van","Melt Shop","American","Lemonade",1,"Beverages","00:19:58.582052",40.7446071410038,-73.9907419681549,40.7520725859369,-73.9853695545937,"2014-10-26 13:51:59.898924",,,"2014-10-26 14:52:06.313088"
1377056,64452,104533,"bicycle","Prince Street Pizza","Pizza","Neapolitan Rice Balls",3,"Munchables","00:25:09.107093",40.7230795234568,-73.9946150779724,40.719722,-73.991858,"2014-10-16 21:58:58.65491","2014-10-16 22:26:02.120931","2014-10-16 22:48:23.091253","2014-10-16 22:59:22.948873"
1476547,83095,132725,"bicycle","Bareburger","Burger","Bare Sodas",1,"Drinks","00:06:44.541717",40.7284782636198,-73.9983918374479,40.728606,-73.995143,"2014-10-28 21:39:52.654394","2014-10-28 21:37:18.793405","2014-10-28 21:59:09.98481","2014-10-28 22:04:40.634962"
1485494,271149,157175,"bicycle","Juice Press","Juice Bar","OMG! My Favorite Juice!",1,"Cold Pressed Juices",,40.7388675545054,-74.0027474503103,40.7512572873763,-74.0056337603126,"2014-10-30 10:54:11.531894","2014-10-30 11:04:17.759577","2014-10-30 11:16:37.895816","2014-10-30 11:32:38.090061"
1327707,122609,118095,"bicycle","Blue Ribbon Sushi","Japanese","Spicy Tuna & Tempura Flakes",2,"Maki (Special Rolls)","00:03:45.035418",40.7261096570601,-74.0024918632005,40.7093232,-74.0158665,"2014-10-10 00:07:18.450505","2014-10-10 00:14:42.702223","2014-10-10 00:25:19.400294","2014-10-10 00:48:27.150595"
1423142,75169,91932,"bicycle","Tamarind TriBeCa","Indian","Dum Aloo Gobi",1,"Vegetarian Specialties","00:07:14.327405",40.7192689254503,-74.0087498848041,40.7256784,-74.0006176,"2014-10-22 18:56:36.348939","2014-10-22 19:18:49.953427","2014-10-22 19:27:10.57897","2014-10-22 19:36:53.801191"
1334106,101347,124897,"bicycle","The Loop","Sushi","Spicy Tuna Roll",1,"Classic Roll & Hand Roll","00:04:49.413655",40.7348581787485,-73.9860934397193,40.7383678,-74.0001054,"2014-10-10 21:08:55.489926","2014-10-10 21:07:15.966292","2014-10-10 21:29:24.500711","2014-10-10 21:40:01.697548"
1311619,59161,79847,"bicycle","Insomnia Cookies","Bakery","Chocolate Chunk",2,"Cookies and Brownies",,40.7297909,-74.0005893,40.7347026,-73.9982061,"2014-10-06 23:20:09.312584","2014-10-06 23:17:35.66695","2014-10-07 00:03:24.389592","2014-10-07 00:09:16.559521"
1487674,55375,181543,"bicycle","Cafe Zaiya",,,,,,40.729357,-73.990156,40.719758,-73.985011,"2014-10-30 16:49:48.259935","2014-10-30 16:55:32.446053","2014-10-30 17:01:22.214264","2014-10-30 17:10:44.731901"
1417206,153816,157415,"car","Shake Shack","Burger","Shackburger",1,"Burgers",,40.7584567749838,-73.9891404661294,40.743613,-73.977684,"2014-10-21 21:18:37.909545","2014-10-21 21:20:14.434227","2014-10-21 21:47:03.624931","2014-10-21 21:59:26.081278"
1332793,104167,83565,"bicycle","El Toro Blanco","Mexican",,,,"00:07:00.095332",40.7289967213182,-74.0028095836576,40.7460604,-73.9946738,"2014-10-10 19:08:02.25412","2014-10-10 19:40:04.278217","2014-10-10 19:44:39.877927","2014-10-10 19:54:14.570666"
1489527,49034,34669,"bicycle","The Smile","American","Spaghetti & Tomato Sauce",1,"Entrees","00:30:57.42213",40.7264131828309,-73.993821144104,40.7247072,-73.981175,"2014-10-30 20:06:57.238098",,,"2014-10-30 21:12:19.208892"
1302973,344631,64396,"bicycle","Mighty Quinn's BBQ","BBQ","Spare Ribs",1,"Meats",,40.7275189451569,-73.9886713027954,40.725485683879,-73.9928188166218,"2014-10-05 18:47:28.819056","2014-10-05 18:50:41.780487","2014-10-05 19:23:54.425485","2014-10-05 19:34:18.250581"
1313076,208020,94865,"bicycle","Hill Country Barbecue Market","BBQ","Healthy Market Special",1,"Market Lunch Specials (12-5pm)","00:05:59.252717",40.7443408456353,-73.9904263762925,40.747018901687,-73.9909219682555,"2014-10-07 12:55:04.793821","2014-10-07 13:09:48.34321","2014-10-07 13:29:08.849452","2014-10-07 13:34:25.318455"
1414562,315523,134198,"bicycle","Magnolia Bakery","Dessert","Red Velvet Cupcake",4,"Specialty Cupcakes",,40.7358928721479,-74.0052044391632,40.7059438924127,-74.0105777796091,"2014-10-21 15:15:32.673629","2014-10-21 15:19:28.629413","2014-10-21 15:37:48.007228","2014-10-21 16:04:06.598794"
