economy,wbcodev2,Region,Income group,reportyr,WBL INDEX,GOING PLACES,Can a woman apply for a passport in the same way as a man?,Can a woman legally travel outside the country in the same way as a man?,Can a woman legally travel outside her home in the same way as a man?,Can a woman legally choose where to live in the same way as a man?,STARTING A JOB,Can a woman get a job or pursue a trade or profession in the same way as a man?,Does the law mandate nondiscrimination based on gender in employment?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,GETTING PAID,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,"Can women work in jobs deemed hazardous, arduous or morally inappropriate in the same way as men?",Are women able to work in the same industries as men?,GETTING MARRIED,Is a married woman not legally required to obey her husband?,Can a woman be head of household or head of family in the same way as a man?,Is there domestic violence legislation?,Can a woman obtain a judgment of divorce in the same way as a man?,Do women have the same rights to remarry as men?,HAVING CHILDREN,Is there paid leave of at least 14 weeks available to women?,"Does the government pay 100% of maternity leave benefits, or parental leave benefits (where maternity leave is unavailable)?",Is there paid paternity leave?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,RUNNING A BUSINESS,Can a woman legally sign a contract in the same way as a man?,Can a woman legally register a business in the same way as a  man?,Can a  woman legally open a bank account in the same way as a man?,Does the law prohibit discrimination by creditors on the basis of sex or gender?,MANAGING ASSETS,Do men and married women have equal ownership rights to property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,GETTING A PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Does the law establish explicit pension care credits for periods of childcare?
Afghanistan,AFG,South Asia,Low income,2009,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2010,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2011,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2012,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2013,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2014,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2015,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2016,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2017,38.13,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,South Asia,Low income,2018,38.13,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
