id,group,make_decision,market,score,date
1,0,1,Los Angeles,0.45,3/17/21
2,1,0,Los Angeles,0.55,3/10/21
3,1,1,Los Angeles,0.55,3/4/21
4,1,1,San Francisco,0.2,3/3/21
5,1,1,San Francisco,0.15,3/1/21
6,0,1,San Francisco,0.15,3/7/21
7,1,1,Los Angeles,0.75,3/16/21
8,0,0,Los Angeles,0.45,3/26/21
9,1,1,Los Angeles,0.05,3/28/21
10,1,1,Los Angeles,0.9,3/20/21
11,1,0,Los Angeles,0.6,3/10/21
12,1,0,Sacramento,0.05,3/9/21
13,0,1,Los Angeles,0.8,3/13/21
14,1,0,Los Angeles,0.75,3/19/21
15,1,0,San Francisco,0.65,3/29/21
16,1,1,Los Angeles,0.35,3/14/21
17,0,1,Los Angeles,0.2,3/6/21
18,1,0,Los Angeles,0.75,3/13/21
19,0,1,San Francisco,0.85,3/30/21
20,1,0,Sacramento,0.65,3/1/21
21,0,1,San Francisco,0.8,3/27/21
22,1,0,San Francisco,0.2,3/15/21
23,0,1,Los Angeles,0.75,3/14/21
24,0,1,Sacramento,0.7,3/30/21
25,0,1,Los Angeles,0.65,3/23/21
26,1,0,San Francisco,0.05,3/26/21
27,0,1,Los Angeles,0.75,3/3/21
28,1,1,Los Angeles,0.75,3/13/21
29,0,0,Los Angeles,0.85,3/15/21
30,1,0,San Francisco,0.2,3/23/21
31,0,0,Los Angeles,0.05,3/25/21
32,1,1,Los Angeles,0.4,3/3/21
33,1,0,Sacramento,0.8,3/22/21
34,1,1,Los Angeles,0.6,3/30/21
35,1,1,Los Angeles,0.55,3/13/21
36,0,0,San Francisco,0.2,3/14/21
37,1,0,Los Angeles,0.85,3/19/21
38,0,0,San Francisco,0.45,3/21/21
39,0,1,Los Angeles,0.25,3/30/21
40,1,1,San Francisco,0.6,3/6/21
41,0,0,Los Angeles,0.4,3/14/21
42,1,0,San Francisco,0.6,3/14/21
43,0,1,San Francisco,0.5,3/30/21
44,1,1,Los Angeles,0.7,3/3/21
45,0,1,Los Angeles,0.75,3/28/21
46,1,1,San Francisco,0.8,3/12/21
47,1,1,Los Angeles,0.7,3/16/21
48,0,0,Los Angeles,0.1,3/27/21
49,0,1,Los Angeles,0.7,3/28/21
50,0,0,San Francisco,0.85,3/22/21
51,0,0,Los Angeles,0.65,3/1/21
52,0,0,San Francisco,0.45,3/24/21
53,0,1,Los Angeles,0.5,3/28/21
54,0,0,San Francisco,0.8,3/3/21
55,0,0,San Francisco,0.85,3/4/21
56,1,1,San Francisco,0.6,3/17/21
57,1,1,Los Angeles,0.45,3/16/21
58,1,1,Los Angeles,0.45,3/25/21
59,1,0,Sacramento,0.9,3/9/21
60,1,1,Los Angeles,0.45,3/25/21
61,1,0,San Francisco,0.85,3/7/21
62,0,1,San Francisco,0.4,3/30/21
63,0,1,Los Angeles,0.45,3/9/21
64,0,1,Los Angeles,0.75,3/14/21
65,0,1,San Francisco,0.85,3/12/21
66,0,0,Los Angeles,0.75,3/19/21
67,1,1,Los Angeles,0.85,3/30/21
68,1,1,San Francisco,0.6,3/29/21
69,1,1,Los Angeles,0.65,3/3/21
70,1,1,Los Angeles,0.7,3/9/21
71,1,0,San Francisco,0.95,3/8/21
72,0,1,San Francisco,0.65,3/17/21
73,0,1,Los Angeles,0.15,3/3/21
74,0,1,San Francisco,0.45,3/8/21
75,1,0,San Francisco,0.1,3/30/21
76,0,0,Los Angeles,0.8,3/16/21
77,1,1,Los Angeles,0.85,3/20/21
78,1,1,Los Angeles,0.85,3/3/21
79,0,1,Los Angeles,0.1,3/7/21
80,0,0,San Francisco,0.25,3/16/21
81,0,1,San Francisco,0.9,3/26/21
82,0,1,Sacramento,0.35,3/15/21
83,1,0,Sacramento,0.5,3/5/21
84,0,0,Los Angeles,0.55,3/3/21
85,1,0,San Francisco,0.2,3/30/21
86,1,0,Los Angeles,0.7,3/24/21
87,1,1,Sacramento,0.9,3/27/21
88,0,1,Los Angeles,0.65,3/18/21
89,1,1,Los Angeles,0.8,3/20/21
90,1,1,Sacramento,0.7,3/7/21
91,1,1,San Francisco,0.1,3/29/21
92,1,1,Los Angeles,0.9,3/9/21
93,0,1,Los Angeles,0.75,3/27/21
94,1,1,Los Angeles,0.25,3/9/21
95,0,1,Los Angeles,0.4,3/5/21
96,0,0,Los Angeles,0.55,3/2/21
97,0,0,San Francisco,0.9,3/7/21
98,1,0,Los Angeles,0.8,3/10/21
99,0,1,Los Angeles,0.8,3/5/21
100,1,1,Los Angeles,0.65,3/9/21
101,1,1,San Francisco,0.2,3/17/21
102,1,1,Los Angeles,0.75,3/15/21
103,1,1,San Francisco,0.2,3/14/21
104,1,0,Los Angeles,0.4,3/6/21
105,0,0,San Francisco,0.95,3/4/21
106,1,0,Los Angeles,0.45,3/16/21
107,0,0,San Francisco,0.95,3/23/21
108,1,1,San Francisco,0.75,3/16/21
109,0,1,Los Angeles,0.4,3/3/21
110,1,1,Los Angeles,0.7,3/21/21
111,0,0,San Francisco,0.2,3/15/21
112,1,0,San Francisco,0.25,3/13/21
113,1,1,Los Angeles,0.4,3/3/21
114,0,1,Los Angeles,0.65,3/3/21
115,0,0,San Francisco,0.55,3/15/21
116,0,1,San Francisco,0.7,3/22/21
117,0,1,Los Angeles,0.7,3/28/21
118,0,1,Los Angeles,0.35,3/3/21
119,1,1,Los Angeles,0.85,3/22/21
120,0,0,San Francisco,0.95,3/26/21
121,0,1,Los Angeles,0.95,3/10/21
122,1,0,Sacramento,0.9,3/3/21
123,0,1,Los Angeles,0.65,3/4/21
124,1,1,Los Angeles,0.75,3/27/21
125,0,1,Los Angeles,0.55,3/28/21
126,1,1,Los Angeles,0.75,3/3/21
127,0,1,Los Angeles,0.9,3/14/21
128,1,0,Sacramento,0.65,3/15/21
129,0,1,Los Angeles,0.35,3/26/21
130,1,1,Los Angeles,0.55,3/22/21
131,0,0,San Francisco,0.45,3/22/21
132,0,0,San Francisco,0.5,3/18/21
133,0,0,Los Angeles,0.95,3/1/21
134,0,1,Los Angeles,0.8,3/15/21
135,0,0,Los Angeles,0.35,3/28/21
136,0,1,Los Angeles,0.35,3/4/21
137,0,1,Los Angeles,0.5,3/9/21
138,0,1,Los Angeles,0.6,3/19/21
139,0,1,Los Angeles,0.35,3/6/21
140,0,1,San Francisco,0.4,3/1/21
141,0,1,San Francisco,0.05,3/14/21
142,0,0,Los Angeles,0.8,3/3/21
143,1,0,San Francisco,0.95,3/25/21
144,0,1,Los Angeles,0.95,3/21/21
145,1,1,Sacramento,0.35,3/8/21
146,0,0,Los Angeles,0.45,3/5/21
147,1,1,Los Angeles,0.85,3/27/21
148,0,1,Los Angeles,0.7,3/23/21
149,1,1,Los Angeles,0.6,3/16/21
150,0,0,Sacramento,0.7,3/19/21
151,1,1,San Francisco,0.3,3/26/21
152,0,1,San Francisco,0.95,3/21/21
153,1,0,Sacramento,0.35,3/16/21
154,1,1,Los Angeles,0.75,3/20/21
155,1,1,Los Angeles,0.95,3/16/21
156,0,1,Los Angeles,0.3,3/22/21
157,1,0,Los Angeles,0.7,3/10/21
158,0,0,Los Angeles,0.05,3/24/21
159,0,1,San Francisco,0.6,3/2/21
160,0,1,San Francisco,0.7,3/27/21
161,0,1,Los Angeles,0.6,3/28/21
162,0,1,Los Angeles,0.85,3/27/21
163,0,0,San Francisco,0.75,3/9/21
164,0,0,San Francisco,0.05,3/14/21
165,0,1,Los Angeles,0.65,3/24/21
166,0,1,Los Angeles,0.25,3/23/21
167,1,1,Los Angeles,0.8,3/20/21
168,0,1,Los Angeles,0.6,3/6/21
169,1,1,Los Angeles,0.95,3/15/21
170,1,1,Los Angeles,0.95,3/8/21
171,1,0,San Francisco,0.6,3/6/21
172,0,1,Los Angeles,0.9,3/15/21
173,1,1,Los Angeles,0.75,3/15/21
174,0,0,Los Angeles,0.8,3/12/21
175,1,0,Los Angeles,0.7,3/2/21
176,0,1,Los Angeles,0.95,3/10/21
177,1,1,San Francisco,0.6,3/16/21
178,1,0,Sacramento,0.6,3/28/21
179,0,0,Sacramento,0.9,3/24/21
180,0,1,Los Angeles,0.7,3/10/21
181,0,1,Sacramento,0.7,3/22/21
182,1,0,Los Angeles,0.95,3/25/21
183,1,1,Sacramento,0.9,3/5/21
184,0,1,Sacramento,0.15,3/27/21
185,0,1,Los Angeles,0.35,3/3/21
186,0,1,San Francisco,0.1,3/26/21
187,0,1,Los Angeles,0.4,3/5/21
188,1,1,Los Angeles,0.4,3/30/21
189,0,1,San Francisco,0.95,3/6/21
190,1,1,Los Angeles,0.8,3/27/21
191,1,1,Los Angeles,0.4,3/6/21
192,0,0,San Francisco,0.1,3/12/21
193,0,1,Los Angeles,0.75,3/6/21
194,0,1,Los Angeles,0.6,3/5/21
195,1,1,Los Angeles,0.6,3/25/21
196,1,1,San Francisco,0.4,3/9/21
197,1,0,Los Angeles,0.65,3/12/21
198,0,0,San Francisco,0.9,3/16/21
199,1,1,San Francisco,0.55,3/29/21
200,1,0,San Francisco,0.7,3/22/21
201,0,1,Los Angeles,0.85,3/21/21
202,0,0,Los Angeles,0.35,3/5/21
203,0,1,Los Angeles,0.6,3/22/21
204,1,0,San Francisco,0.75,3/8/21
205,1,0,Sacramento,0.35,3/8/21
206,0,0,San Francisco,0.6,3/14/21
207,1,1,Los Angeles,0.55,3/20/21
208,1,1,San Francisco,0.4,3/16/21
209,0,1,Sacramento,0.2,3/13/21
210,1,0,Los Angeles,0.1,3/16/21
211,1,1,Los Angeles,0.8,3/9/21
212,1,1,San Francisco,0.6,3/2/21
213,0,0,Los Angeles,0.5,3/20/21
214,0,1,Los Angeles,0.2,3/17/21
215,0,1,Los Angeles,0.85,3/25/21
216,1,0,Los Angeles,0.8,3/22/21
217,0,0,Los Angeles,0.95,3/22/21
218,0,1,Los Angeles,0.6,3/12/21
219,0,1,Sacramento,0.3,3/17/21
220,1,1,Los Angeles,0.4,3/26/21
221,1,1,San Francisco,0.45,3/6/21
222,0,1,Los Angeles,0.85,3/6/21
223,0,0,San Francisco,0.45,3/6/21
224,0,0,Sacramento,0.95,3/22/21
225,0,0,Sacramento,0.2,3/29/21
226,1,0,Los Angeles,0.9,3/3/21
227,0,1,Los Angeles,0.9,3/10/21
228,1,1,San Francisco,0.2,3/12/21
229,1,1,San Francisco,0.9,3/28/21
230,0,1,Los Angeles,0.95,3/5/21
231,0,1,Los Angeles,0.8,3/30/21
232,0,1,Sacramento,0.45,3/3/21
233,1,0,San Francisco,0.05,3/26/21
234,1,1,Los Angeles,0.85,3/9/21
235,0,1,Los Angeles,0.2,3/8/21
236,1,1,Los Angeles,0.7,3/15/21
237,0,1,Los Angeles,0.5,3/1/21
238,1,0,Los Angeles,0.6,3/24/21
239,0,0,San Francisco,0.95,3/1/21
240,0,1,Los Angeles,0.9,3/21/21
241,1,1,Los Angeles,0.7,3/9/21
242,1,1,San Francisco,0.75,3/26/21
243,0,0,Los Angeles,0.6,3/27/21
244,0,1,Los Angeles,0.2,3/12/21
245,0,1,San Francisco,0.35,3/16/21
246,1,1,Los Angeles,0.6,3/13/21
247,1,0,San Francisco,0.7,3/30/21
248,0,0,Los Angeles,0.9,3/17/21
249,0,1,Los Angeles,0.45,3/28/21
250,1,1,Los Angeles,0.5,3/27/21
251,0,0,San Francisco,0.5,3/6/21
252,1,0,Sacramento,0.65,3/27/21
253,0,0,Los Angeles,0.9,3/9/21
254,0,1,Los Angeles,0.5,3/8/21
255,0,1,San Francisco,0.7,3/15/21
